"Sandston, VA",6:12
"Tomball, TX",6:12
"Richmond, VA",6:12
"Manhattan, NY",6:12
"Philadelphia, PA",6:13
"Marietta, WA",6:13
"Manhattan, NY",6:13
"Delaware, USA",6:13
"Boonsboro, MD",6:13
"Manhattan, NY",6:13
"Hollywood, FL",6:13
"Manhattan, NY",6:13
"Bronx, NY",6:14
"Brookside, DE",6:14
"Brooklyn, NY",6:14
"Manhattan, NY",6:14
"San Francisco, CA",6:14
"Fairfield, OH",6:14
"Marietta, WA",6:14
"National Capital Region, Republic of the Philippines",6:14
"Manhattan, NY",6:15
"Harrison, NY",6:15
"Centreville, VA",6:15
"Manhattan, NY",6:15
"Marietta, WA",6:16
"Towson, MD",6:16
"Manhattan, NY",6:16
"Manhattan, NY",6:16
"Puerto Vallarta, Jalisco",6:16
"Herndon, VA",6:16
"Brooklyn, NY",6:17
"Marietta, WA",6:17
"Manhattan, NY",6:17
"Concord, CA",6:17
"Portland, OR",6:17
"Rosaryville, MD",6:17
"Bronx, NY",6:18
"Charlotte, NC",6:18
"Rancho Cucamonga, CA",6:18
"Manhattan, NY",6:18
"Huai Khwang, Bangkok",6:18
"High Point, NC",6:19
"York, PA",6:19
"Manhattan, NY",6:19
"Glen Cove, NY",6:19
"Adelaide, South Australia",6:19
"Manhattan, NY",6:19
"Washington, DC",6:19
Etats-Unis,6:19
"Virginia, USA",6:19
"Pennsylvania, USA",6:19
"Sydney, New South Wales",6:20
"Los Angeles, CA",6:20
"Manhattan, NY",6:20
"Guildford, England",6:20
"Puerto Rico, USA",6:20
"Los Angeles, CA",6:21
"Ayase City, Kanagawa",6:21
"Manhattan, NY",6:21
"Manhattan, NY",6:21
"Manhattan, NY",6:21
"Manhattan, NY",6:21
"Barnet, London",6:21
"New Jersey, USA",6:22
"Frederick, MD",6:22
"Pembroke, NC",6:22
"Washington, DC",6:22
"Snoqualmie, WA",6:22
"Glenn Dale, MD",6:22
"Towson, MD",6:23
"Bronx, NY",6:23
"Manhattan, NY",6:23
"Bloomfield, NJ",6:23
"New Jersey, USA",6:24
"Queens, NY",6:24
"Memphis, TN",6:24
"Queens, NY",6:24
Etats-Unis,6:24
"Pennsylvania, USA",6:24
"Washington, DC",6:25
"Zurich, Switzerland",6:25
"Rio Pinar, FL",6:25
"Centreville, VA",6:25
"Staten Island, NY",6:25
"Dumont, NJ",6:25
"Brooklyn, NY",6:25
"Martinez, CA",6:26
"Upper West Side, Manhattan",6:26
"Manhattan, NY",6:26
"Newington, VA",6:26
"Washington, DC",6:26
"Wichita Falls, TX",6:26
"Manhattan, NY",6:27
"Salisbury, MD",6:27
"Manhattan, NY",6:27
"Toronto, Ontario",6:27
"Towson, MD",6:27
"West Hartford, CT",6:27
"Arlington, VA",6:27
"Manhattan, NY",6:27
"Manhattan, NY",6:27
"Lakewood, CO",6:27
"Dover Air Force Base, DE",6:28
"Portland, OR",6:28
"Bloomfield, CT",6:28
"Norfolk, VA",6:28
"Boston, MA",6:28
"Denver, CO",6:28
"San Francisco, CA",6:28
"Richland, PA",6:28
"Baltimore, MD",6:28
"Washington, DC",6:28
"Keokuk, IA",6:28
"Cockeysville, MD",6:28
"Reno, NV",6:29
"Glen Burnie, MD",6:29
"Manhattan, NY",6:29
"Philadelphia, PA",6:30
"Manhattan, NY",6:30
"Brooklyn, NY",6:30
"Foggy Bottom, Washington",6:31
"Georgia, USA",6:31
Pagliacci's New York Pizzeria,6:31
